blockNum,originalBlockTrialNum,cueType,cueValidity,postCueLocation,pstCueCoordXDeg,fixOnset,TargetDur,TargetOnset,pstMaskOnset,RespOnset,trialNum,string,CxResp,Preq1Op,Preq2Op,Preq3Op,Preq4Op,Preq5Op,Preq6Op,positionss,positionx,positiony,pstCueCoordX
1,1,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,1,{'PG'},P_3,1,1,1,1,1,1,,,-0.5,-0.065260197
1,5,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,5,{'DF'},D_3,1,1,1,1,1,1,1,-0.9280,-0.5,-0.065260197
1,6,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,6,{'FK'},K_3,1,1,1,1,1,1,2,0.9280,-0.5,0.065260197
1,2,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,2,{'DF'},F_3,1,1,1,1,1,1,3,,-0.5,0.065260197
1,3,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,3,{'FG'},G_3,1,1,1,1,1,1,4,,-0.5,0.065260197
1,4,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,4,{'DG'},D_3,1,1,1,1,1,1,,,-0.5,-0.065260197
1,7,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,7,{'GK'},G_3,1,1,1,1,1,1,,deg to norm,,-0.065260197
1,8,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,8,{'KG'},K_3,1,1,1,1,1,1,,14.2200,,-0.065260197
1,9,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,9,{'GP'},P_3,1,1,1,1,1,1,,,,0.065260197
1,10,0.00,0.00,1,-0.93,1,0.24,0.600,0.84,0.94,10,{'DK'},D_3,1,1,1,1,1,1,,,,-0.065260197
1,11,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,11,{'DF'},F_3,1,1,1,1,1,1,,,,0.065260197
1,12,0.00,0.00,2,0.93,1,0.24,0.600,0.84,0.94,12,{'KH'},H_3,1,1,1,1,1,1,,,,0.065260197
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
